dosage_form,extraction_steps,api_stability,target_concentration,hist_rsd_precision,hist_r2_linearity,hist_recovery_accuracy,system_suitability_tailing,system_suitability_resolution,elution_type,run_time_minutes,full_validation_required
coated_tablet,3,7.8,0.645,0.749,0.999771,99.13,1.21,3.24,isocratic,15.9,0
suspension,2,4.6,1.677,0.504,0.99999,99.47,1.0,2.13,isocratic,12.6,0
coated_tablet,2,2.2,1.125,0.559,0.999904,99.95,0.89,2.77,isocratic,11.9,0
coated_tablet,1,2.6,0.86,0.691,1.0,100.34,1.16,2.72,isocratic,12.7,0
suspension,2,7.5,2.867,2.657,0.99987,102.03,1.53,2.24,isocratic,29.8,1
suspension,1,3.9,0.982,0.511,0.99999,102.27,1.19,2.33,isocratic,7.9,0
suspension,1,4.1,2.238,0.994,0.999963,99.31,0.8,2.57,isocratic,31.2,0
cream,2,5.6,0.36,0.572,0.999937,99.33,1.16,1.74,gradient,15.4,0
api_powder,1,5.0,1.348,0.744,0.999916,99.87,0.98,2.53,gradient,10.5,0
suspension,2,5.3,0.624,1.018,0.99999,99.55,1.08,2.38,gradient,31.5,0
cream,4,3.3,0.8,1.133,0.995432,98.59,1.16,2.31,isocratic,14.0,1
coated_tablet,4,9.7,1.833,1.19,0.99999,98.55,0.8,1.74,isocratic,10.9,1
api_powder,2,6.4,0.836,0.876,0.999968,99.78,0.94,1.91,isocratic,15.5,0
api_powder,2,1.2,0.818,0.915,0.997617,100.6,0.92,2.3,isocratic,13.4,0
coated_tablet,1,7.0,1.207,0.348,0.999152,99.09,0.94,0.97,gradient,17.7,1
suspension,1,8.0,1.777,0.497,0.99998,100.07,0.87,1.8,isocratic,16.3,0
suspension,0,4.9,0.403,0.327,0.99999,98.54,1.21,2.69,isocratic,11.2,0
coated_tablet,2,2.8,1.41,1.057,1.0,99.81,1.32,2.76,isocratic,11.3,0
coated_tablet,1,1.8,1.52,0.619,0.99765,100.16,1.33,2.76,isocratic,15.7,0
coated_tablet,0,1.7,1.46,0.899,0.997522,99.06,1.41,2.17,isocratic,9.9,0
api_powder,2,1.6,2.248,1.391,0.99979,100.08,1.18,1.89,gradient,22.3,0
api_powder,0,9.8,0.894,1.863,0.99999,101.53,1.37,2.76,isocratic,9.7,1
coated_tablet,0,1.7,1.63,0.777,0.997473,101.31,1.03,3.12,isocratic,9.4,0
api_powder,1,2.2,1.026,0.562,0.99966,99.83,0.9,1.53,isocratic,7.4,0
cream,3,3.2,0.677,0.59,0.999253,101.39,0.8,1.72,gradient,13.7,1
cream,1,6.1,0.452,0.723,0.999761,99.93,0.91,1.76,isocratic,9.3,0
api_powder,2,7.3,0.462,0.403,0.997559,99.49,1.72,2.32,isocratic,6.3,0
api_powder,1,7.6,0.604,0.542,0.999537,101.7,1.38,3.1,gradient,17.1,1
cream,0,1.2,1.761,0.557,0.999834,100.25,1.59,2.93,gradient,7.9,0
suspension,2,8.3,2.205,0.928,0.999648,100.91,1.73,2.49,gradient,15.6,1
cream,2,6.3,1.737,0.763,0.999979,98.82,1.33,1.16,gradient,20.1,1
coated_tablet,4,2.1,0.824,0.746,0.99999,101.61,1.18,1.26,isocratic,10.1,1
coated_tablet,3,1.6,0.971,0.669,0.999928,99.87,1.42,1.77,gradient,6.1,0
cream,3,2.5,1.37,1.463,0.995998,99.85,0.94,2.69,isocratic,13.2,0
coated_tablet,3,9.6,1.477,1.035,0.999684,98.81,1.06,2.0,isocratic,7.4,0
coated_tablet,2,1.0,0.685,1.288,0.999797,99.32,0.8,2.39,isocratic,14.3,0
cream,1,1.3,0.198,0.656,0.999985,100.01,1.09,2.77,isocratic,14.0,0
coated_tablet,1,1.5,1.84,0.78,0.998372,99.91,1.57,2.9,isocratic,12.5,0
coated_tablet,1,4.6,1.31,0.698,1.0,100.06,1.6,1.87,isocratic,13.8,0
coated_tablet,1,7.1,1.255,0.536,0.999566,98.87,0.8,2.25,isocratic,8.0,0
coated_tablet,0,1.3,1.52,0.424,1.0,100.01,1.0,2.4,isocratic,6.0,0
suspension,2,9.2,1.572,0.574,0.999635,98.71,0.83,1.91,isocratic,19.3,0
coated_tablet,4,1.2,6.019,0.522,0.999954,100.91,0.8,2.49,isocratic,11.9,0
api_powder,2,9.2,0.919,1.444,0.99998,98.94,1.32,2.32,isocratic,5.6,0
cream,2,3.0,0.58,1.298,0.991442,98.44,1.08,2.81,isocratic,20.1,1
coated_tablet,0,2.2,1.09,0.549,0.99961,100.36,0.94,2.5,isocratic,9.4,0
suspension,3,3.4,1.081,0.437,0.999502,99.79,1.29,1.74,gradient,8.4,0
cream,1,3.4,0.924,1.206,0.99999,102.04,1.17,1.74,isocratic,29.7,1
api_powder,1,4.8,0.376,0.666,0.998949,100.65,1.25,2.64,isocratic,13.0,0
coated_tablet,3,2.4,3.181,0.848,0.999964,99.32,1.31,1.64,gradient,19.7,0
coated_tablet,1,4.4,0.61,0.511,0.996974,99.35,1.26,1.96,isocratic,9.3,0
coated_tablet,2,4.4,1.8,0.467,0.999939,100.3,1.59,2.61,isocratic,11.5,0
coated_tablet,1,7.0,0.365,0.885,0.99999,100.67,1.09,2.7,isocratic,8.5,0
suspension,3,1.9,0.475,0.679,0.999842,98.92,0.84,2.02,isocratic,17.2,0
suspension,3,1.5,1.696,0.223,0.999646,100.92,0.86,2.26,isocratic,15.1,0
suspension,0,5.3,0.574,0.419,0.999976,101.37,1.07,2.82,gradient,16.4,0
coated_tablet,2,1.2,1.629,0.309,0.999933,100.62,1.0,2.27,gradient,14.7,0
suspension,1,7.8,0.911,0.988,0.99999,101.02,1.65,2.29,isocratic,15.5,1
coated_tablet,1,9.2,0.992,1.365,0.99999,101.07,1.77,2.44,gradient,15.2,0
coated_tablet,2,3.3,1.45,0.802,0.998606,100.0,1.02,2.64,isocratic,8.9,0
api_powder,4,2.5,0.298,1.079,0.998573,101.23,0.86,1.28,gradient,9.5,1
suspension,1,1.1,0.587,0.579,0.99999,102.0,0.85,1.86,gradient,13.0,0
coated_tablet,1,7.9,6.192,0.62,0.999637,99.93,0.97,1.71,isocratic,9.3,0
api_powder,2,4.4,1.019,0.447,0.997405,99.79,1.56,1.66,isocratic,7.9,0
coated_tablet,0,3.7,0.68,0.205,1.0,100.31,1.22,2.18,isocratic,12.0,0
api_powder,1,4.6,1.325,0.446,0.999648,98.78,1.37,2.03,gradient,5.7,0
coated_tablet,2,8.2,3.267,0.242,0.999876,99.31,0.86,1.66,isocratic,28.3,0
coated_tablet,0,9.4,0.651,1.014,0.99999,99.54,1.57,3.04,isocratic,16.3,0
coated_tablet,3,9.4,0.303,0.485,0.998717,98.84,0.95,3.16,gradient,14.8,0
api_powder,1,4.7,1.24,0.793,1.0,99.0,1.21,2.91,isocratic,5.0,0
api_powder,1,2.2,1.173,0.386,0.999711,102.0,0.8,1.71,isocratic,9.5,0
api_powder,3,8.8,0.935,2.885,0.999918,100.75,1.01,2.28,isocratic,19.2,1
cream,2,8.1,4.477,0.114,0.999986,100.06,0.8,2.09,isocratic,5.0,1
suspension,3,5.5,3.126,1.171,0.99862,100.98,0.97,2.71,gradient,8.5,0
coated_tablet,4,9.4,1.866,0.477,0.999978,97.14,1.06,2.18,isocratic,5.2,1
suspension,1,2.4,1.13,0.516,0.998065,99.33,1.44,2.31,isocratic,6.7,0
suspension,3,7.9,2.73,0.469,0.999136,100.27,1.16,2.7,gradient,13.1,1
suspension,2,6.8,4.141,0.106,0.99999,99.91,1.6,2.77,isocratic,7.3,0
coated_tablet,2,5.2,2.406,0.249,0.999615,101.11,1.23,2.2,isocratic,14.3,0
coated_tablet,2,2.2,0.51,0.263,0.99999,98.37,0.81,1.98,gradient,12.2,0
cream,2,3.4,0.985,0.422,0.998131,99.68,0.89,1.46,isocratic,10.6,1
coated_tablet,3,5.7,0.383,0.747,0.999942,99.65,0.96,2.91,gradient,8.8,0
suspension,2,9.0,0.994,0.49,0.999838,99.45,1.31,3.05,isocratic,12.9,0
api_powder,4,6.3,0.967,0.364,0.998979,99.24,0.8,2.2,isocratic,14.6,0
coated_tablet,3,1.3,1.957,0.289,0.999988,99.78,0.8,2.25,isocratic,12.5,0
coated_tablet,0,1.7,1.2,0.802,0.999498,100.16,1.07,2.62,isocratic,9.2,0
cream,0,6.3,0.754,0.731,0.99999,100.68,1.29,1.9,isocratic,16.5,0
api_powder,3,1.9,0.692,0.564,0.99999,102.24,0.8,1.67,gradient,9.3,1
suspension,1,9.9,1.221,0.929,0.999989,101.02,1.04,2.52,isocratic,17.9,0
cream,1,2.0,1.55,1.091,0.99999,99.72,0.8,2.3,isocratic,10.2,0
coated_tablet,2,7.0,0.22,0.267,0.99944,100.02,1.39,2.84,gradient,9.9,0
cream,2,8.4,1.008,1.048,0.999958,99.73,1.09,2.61,gradient,8.4,1
coated_tablet,2,1.3,0.503,0.398,0.999889,100.56,0.88,2.35,isocratic,12.0,0
suspension,2,2.3,0.591,0.47,0.999669,99.47,1.01,2.06,isocratic,14.6,0
coated_tablet,0,4.1,4.407,0.521,0.99977,100.83,1.11,2.1,isocratic,7.3,0
suspension,1,2.7,2.905,0.626,0.998069,98.17,0.82,2.89,gradient,16.7,1
coated_tablet,2,8.3,1.508,0.413,0.99999,100.28,1.33,2.17,isocratic,11.3,0
cream,1,7.3,2.158,1.049,0.999751,99.47,1.36,2.53,isocratic,34.6,0
suspension,3,6.4,2.497,0.508,0.999709,99.93,0.93,1.97,isocratic,6.9,0
suspension,2,2.0,0.345,0.395,0.998637,100.79,1.01,2.43,isocratic,14.4,0
coated_tablet,1,2.6,1.235,0.422,0.99999,101.18,1.38,2.63,gradient,11.1,0
cream,2,2.1,0.94,1.338,0.992745,99.33,1.28,2.38,isocratic,16.4,0
coated_tablet,1,6.5,1.568,0.178,0.999988,99.66,0.93,2.88,isocratic,8.9,0
suspension,2,4.9,2.294,0.908,0.99999,99.06,0.89,2.33,isocratic,7.3,0
coated_tablet,4,5.8,3.235,0.466,0.999086,100.55,1.3,2.73,gradient,22.2,0
coated_tablet,0,1.6,1.66,0.274,0.999622,100.69,0.83,2.24,isocratic,6.5,0
coated_tablet,3,1.4,9.925,0.482,0.998743,98.07,0.8,2.42,isocratic,30.5,0
api_powder,4,8.2,1.034,0.824,0.99999,101.01,0.95,1.87,isocratic,22.1,0
coated_tablet,0,1.3,1.118,0.582,0.999943,99.91,0.94,3.63,gradient,9.1,0
cream,2,5.2,0.849,0.91,0.999209,97.92,1.51,1.28,isocratic,9.2,1
cream,4,1.5,0.59,1.583,0.994532,99.06,1.05,2.34,isocratic,14.2,1
api_powder,1,6.1,0.296,0.386,0.999229,100.46,0.94,2.2,gradient,8.0,0
coated_tablet,2,2.4,3.583,1.227,0.999538,101.13,1.12,2.32,isocratic,12.6,0
cream,1,4.1,0.928,2.611,0.99999,100.7,1.16,2.04,isocratic,3.9,1
coated_tablet,2,9.1,31.866,1.492,0.999964,99.23,1.29,2.33,isocratic,18.0,0
coated_tablet,0,8.4,0.259,0.859,0.99999,98.84,1.54,2.06,isocratic,8.0,0
coated_tablet,2,5.8,2.872,0.535,0.99999,99.37,1.52,2.51,isocratic,15.8,0
coated_tablet,1,9.4,2.938,0.789,0.999611,101.46,0.92,2.32,gradient,13.7,0
api_powder,3,7.0,1.26,0.387,0.999884,100.73,1.26,2.05,isocratic,27.1,0
cream,1,3.2,4.674,0.51,0.999061,99.66,1.17,2.09,gradient,6.1,0
cream,3,4.3,1.33,1.854,0.991215,98.91,1.23,2.66,isocratic,20.9,1
api_powder,1,1.5,0.494,0.307,0.99999,99.62,1.35,2.31,gradient,11.3,0
coated_tablet,1,8.1,0.546,0.346,0.999693,100.67,1.6,2.4,gradient,19.5,0
suspension,1,10.0,1.809,0.796,0.999981,99.18,0.97,1.79,isocratic,11.5,0
coated_tablet,1,3.6,1.93,0.59,1.0,100.55,1.2,2.9,isocratic,11.5,0
cream,2,8.7,2.358,0.236,0.99999,100.11,1.08,2.01,gradient,7.3,1
api_powder,0,7.5,1.261,1.761,0.999462,100.98,1.59,1.63,isocratic,13.0,1
api_powder,0,5.3,0.694,0.548,0.99938,101.63,1.12,2.51,gradient,7.8,0
coated_tablet,2,2.7,0.92,0.369,0.999924,100.19,1.01,2.29,gradient,13.5,0
coated_tablet,2,3.3,1.6,0.796,0.996036,100.46,1.17,2.44,isocratic,14.8,0
cream,1,7.1,0.408,1.762,0.998122,99.66,1.63,3.27,isocratic,11.2,1
api_powder,0,1.6,2.292,0.691,0.998837,98.57,1.83,2.14,gradient,8.8,0
cream,4,7.2,1.242,1.02,0.999977,98.52,1.05,2.14,gradient,21.7,1
api_powder,1,2.7,0.323,0.144,0.999297,99.99,0.98,2.58,isocratic,10.2,0
api_powder,1,1.1,0.92,0.529,0.999343,99.71,1.2,2.8,isocratic,6.3,0
suspension,1,1.9,0.773,1.079,0.996623,99.98,1.19,2.03,isocratic,8.6,0
api_powder,1,3.7,1.76,0.413,0.999938,99.16,1.08,2.29,isocratic,11.4,0
coated_tablet,0,1.1,0.802,0.327,0.99999,101.6,0.91,2.14,isocratic,8.6,0
api_powder,2,3.2,0.532,0.776,0.999986,99.72,1.02,1.68,isocratic,6.3,0
api_powder,0,6.3,2.409,0.462,0.999732,98.99,1.16,1.37,gradient,9.3,0
cream,1,8.3,1.533,0.548,0.99999,100.29,0.99,2.92,gradient,14.8,0
coated_tablet,2,4.3,1.42,0.609,0.99999,100.0,0.8,3.18,isocratic,16.8,0
cream,2,8.3,0.604,0.346,0.99999,99.02,0.8,2.62,gradient,15.4,0
coated_tablet,0,1.9,1.688,0.426,0.999895,99.64,0.8,3.07,isocratic,18.2,0
coated_tablet,2,9.8,1.365,1.844,0.99999,99.83,0.98,0.94,gradient,34.1,1
coated_tablet,2,2.8,2.649,2.803,0.998243,100.24,0.8,3.42,gradient,7.8,1
coated_tablet,4,7.0,1.341,0.301,0.99998,99.11,0.8,2.19,gradient,12.2,0
suspension,2,9.9,2.962,0.326,0.999795,98.54,0.92,2.53,gradient,17.8,0
api_powder,1,4.8,0.155,1.042,0.999973,99.9,1.0,1.96,isocratic,25.2,0
suspension,3,6.1,1.921,0.392,0.99999,97.54,0.82,2.3,gradient,24.7,1
suspension,3,7.1,1.212,0.741,0.999754,100.76,0.8,2.37,gradient,149.0,0
cream,4,7.7,1.15,0.408,0.999165,98.88,1.0,2.13,gradient,11.5,1
api_powder,3,9.4,1.125,1.37,0.999747,100.3,1.84,2.61,isocratic,11.9,0
suspension,1,9.8,3.883,0.637,0.999342,100.06,1.46,2.91,gradient,14.5,0
coated_tablet,0,1.0,3.317,0.336,0.999954,99.38,1.85,2.5,gradient,5.7,0
cream,2,9.9,0.945,0.308,0.99999,100.32,0.83,1.74,gradient,12.5,1
cream,1,8.3,2.024,0.594,0.999891,100.42,1.28,2.21,gradient,11.6,0
coated_tablet,1,1.8,0.526,0.435,0.999725,97.59,1.04,3.12,gradient,11.2,1
suspension,1,1.7,2.181,1.757,0.999973,99.9,0.81,2.98,isocratic,6.4,0
api_powder,1,6.8,3.045,0.454,0.999567,98.66,0.8,2.35,isocratic,11.2,0
coated_tablet,1,2.2,2.667,0.439,0.99999,100.69,0.8,2.33,isocratic,14.2,0
coated_tablet,0,5.5,0.966,0.718,0.999416,101.35,1.35,2.58,isocratic,11.6,0
cream,1,3.7,0.634,0.444,0.99999,99.49,1.35,3.15,isocratic,7.8,0
coated_tablet,0,1.6,1.22,0.766,1.0,99.5,1.32,2.37,isocratic,9.8,0
api_powder,1,8.4,0.589,0.279,0.999823,100.07,0.98,2.59,gradient,17.4,0
coated_tablet,2,2.6,1.16,0.513,0.99999,100.67,1.45,2.93,isocratic,9.3,0
suspension,0,1.8,0.473,3.433,0.999912,100.12,0.8,2.16,isocratic,14.4,0
coated_tablet,0,4.4,0.97,0.692,0.999046,101.11,0.8,2.12,isocratic,10.0,0
cream,3,3.3,2.411,1.594,0.999946,99.61,1.14,2.62,gradient,12.2,1
coated_tablet,1,7.9,0.578,0.712,0.99999,99.98,0.9,2.03,isocratic,16.2,0
coated_tablet,2,9.2,1.44,0.237,0.999952,100.83,1.6,2.14,gradient,12.6,1
api_powder,3,7.8,3.384,0.332,0.99999,99.5,0.82,1.94,gradient,17.7,1
coated_tablet,2,8.9,0.744,0.603,0.99999,99.48,2.32,2.03,isocratic,23.2,1
coated_tablet,1,6.5,1.886,0.947,0.999505,99.88,0.8,2.68,isocratic,14.1,0
api_powder,2,1.0,1.33,0.514,1.0,99.3,1.01,2.36,isocratic,5.7,0
coated_tablet,1,5.0,1.429,0.221,0.999671,100.87,1.47,2.74,isocratic,9.7,0
api_powder,2,2.4,0.74,0.494,0.999477,100.04,1.44,2.79,isocratic,12.9,0
coated_tablet,1,2.4,1.532,0.603,0.99999,98.7,0.87,1.93,isocratic,3.0,0
coated_tablet,4,4.6,1.382,0.349,0.999981,98.86,0.89,2.97,gradient,8.9,0
api_powder,1,5.7,0.289,0.443,0.99999,98.92,1.3,2.2,gradient,5.3,0
api_powder,2,2.4,0.74,0.626,0.998882,99.71,1.34,2.49,isocratic,11.6,0
suspension,1,3.1,2.121,0.912,0.999984,99.24,1.37,1.97,isocratic,17.5,0
cream,2,2.0,1.19,0.51,0.99605,100.66,1.01,1.95,isocratic,11.1,0
api_powder,1,2.6,0.87,0.618,0.997964,99.82,0.8,2.07,isocratic,10.1,0
api_powder,1,6.5,0.638,0.386,0.99999,101.71,0.8,1.45,gradient,12.9,1
coated_tablet,1,7.2,1.265,1.114,0.99999,98.87,1.23,2.72,isocratic,15.5,0
cream,1,1.9,1.137,0.714,0.999774,99.35,1.17,2.4,gradient,16.2,0
api_powder,1,4.6,1.49,0.497,1.0,100.3,1.13,2.63,isocratic,9.4,0
api_powder,2,8.1,0.28,1.024,0.99999,99.29,1.74,3.34,gradient,17.8,1
coated_tablet,4,2.8,2.764,1.062,0.999933,100.52,0.95,2.12,gradient,9.5,0
coated_tablet,1,1.3,0.699,0.206,0.99999,100.21,0.97,1.84,isocratic,9.8,0
suspension,3,4.9,2.113,0.441,0.999554,100.37,0.8,1.56,isocratic,8.4,0
coated_tablet,1,6.6,0.869,0.701,0.99999,101.76,0.99,1.9,isocratic,13.0,1
suspension,3,5.0,1.922,0.566,0.99887,102.26,1.2,2.67,isocratic,4.1,1
api_powder,0,8.5,0.761,0.723,0.99993,100.59,0.97,2.06,gradient,9.5,0
api_powder,3,3.7,1.31,0.186,0.999989,97.08,1.25,1.69,isocratic,15.1,1
cream,3,5.7,4.495,0.552,0.99999,97.62,0.98,2.63,isocratic,19.9,1
api_powder,0,7.5,0.462,0.843,0.999418,98.9,1.08,2.31,isocratic,15.3,0
suspension,1,1.9,2.205,1.421,0.999973,100.95,1.24,1.99,isocratic,16.2,0
api_powder,1,6.1,2.591,0.145,0.999509,100.63,1.31,2.22,gradient,8.1,0
suspension,2,3.5,1.519,0.371,0.999944,98.86,1.33,3.2,gradient,13.2,0
api_powder,0,3.5,0.822,0.798,0.99999,100.69,1.41,3.3,isocratic,18.2,0
coated_tablet,1,5.5,0.317,1.074,0.999859,99.99,1.29,1.49,isocratic,11.7,0
api_powder,0,5.2,1.182,0.312,0.999599,100.28,1.69,1.96,isocratic,5.2,0
api_powder,0,2.6,0.7,0.631,1.0,99.65,1.04,2.4,isocratic,13.4,0
cream,4,1.6,1.93,1.468,0.994866,99.44,1.13,2.0,isocratic,14.4,0
api_powder,2,2.3,3.727,1.046,0.999788,99.02,0.8,2.07,isocratic,11.0,0
suspension,1,3.5,1.061,0.56,0.999472,99.23,1.07,1.66,isocratic,9.1,0
cream,2,9.1,1.405,0.581,0.999668,100.39,1.1,1.95,isocratic,10.0,0
coated_tablet,3,1.8,0.658,0.795,0.999676,99.53,1.18,2.67,gradient,13.5,0
suspension,1,7.7,0.11,0.51,0.99968,100.36,0.91,3.49,isocratic,27.7,0
cream,3,3.2,0.58,0.963,0.99999,98.21,1.15,2.72,isocratic,10.6,0
suspension,2,8.5,0.454,1.086,0.999974,99.13,1.08,2.64,isocratic,17.7,0
cream,2,2.0,1.013,0.116,0.99999,99.93,1.35,2.75,gradient,13.4,0
api_powder,4,9.7,0.405,0.76,0.999424,98.1,1.79,2.15,gradient,20.3,1
coated_tablet,2,4.9,0.62,0.832,1.0,100.16,0.99,2.67,isocratic,11.3,0
coated_tablet,0,3.5,1.42,0.855,0.998988,100.71,1.04,2.83,isocratic,9.5,0
cream,1,6.7,0.882,1.301,0.99999,98.73,0.9,2.45,gradient,22.7,1
suspension,1,2.4,1.0,0.773,0.999739,100.83,1.41,3.02,isocratic,22.1,0
coated_tablet,1,1.8,0.96,0.748,0.997919,99.55,1.16,2.29,isocratic,10.7,0
suspension,2,6.4,4.595,1.021,0.99999,99.9,0.85,2.92,isocratic,10.9,0
coated_tablet,2,3.6,0.377,0.259,0.999829,100.8,1.42,1.95,gradient,16.6,0
cream,0,4.3,1.146,0.186,0.999309,101.5,1.31,2.84,isocratic,19.4,0
coated_tablet,1,4.4,2.699,0.381,0.99999,98.58,0.93,2.27,isocratic,9.9,0
api_powder,1,1.5,0.585,4.0,0.99999,98.74,0.83,1.77,isocratic,15.5,1
cream,2,9.6,0.701,0.608,0.99999,97.95,1.01,1.57,isocratic,9.4,1
suspension,2,6.5,1.967,1.031,0.999675,100.62,1.14,2.62,isocratic,13.7,0
coated_tablet,1,7.0,0.53,0.791,0.999056,100.79,0.8,2.43,gradient,11.1,0
coated_tablet,2,4.3,1.18,0.775,1.0,99.1,1.09,2.38,isocratic,13.5,0
suspension,2,7.3,2.663,1.319,0.999972,100.94,1.2,2.22,gradient,12.0,0
cream,1,1.0,0.912,0.986,0.999791,98.56,0.8,2.49,isocratic,10.4,0
coated_tablet,1,2.5,0.645,0.977,0.999891,100.59,1.15,2.13,isocratic,13.0,0
api_powder,2,2.2,1.706,0.603,0.99975,99.48,1.01,2.75,isocratic,21.9,0
coated_tablet,2,6.2,1.049,0.832,0.998812,100.48,0.8,1.57,gradient,6.9,0
cream,1,3.0,10.86,0.326,0.997341,99.47,1.1,1.89,gradient,5.7,0
coated_tablet,1,2.1,1.25,0.869,1.0,99.86,1.13,1.77,isocratic,13.4,0
coated_tablet,0,2.4,1.22,0.515,0.996783,100.4,1.16,2.31,isocratic,7.0,0
coated_tablet,1,7.7,0.591,0.452,0.997611,100.89,0.86,2.81,isocratic,6.7,0
suspension,2,5.3,0.352,0.558,0.99999,102.64,0.87,2.42,isocratic,8.6,1
api_powder,3,8.7,0.313,0.425,0.999906,98.94,1.42,2.01,gradient,20.9,0
